# sensor_id, name, sensor_type, [sensor_params]+
1, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
10, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
100, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1000, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1001, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1002, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1003, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1004, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1005, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1006, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1007, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1008, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1009, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
101, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1010, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1011, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1012, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1013, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1014, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1015, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1016, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1017, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1018, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1019, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
102, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1020, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1021, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1022, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1023, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1024, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1025, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1026, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1027, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1028, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1029, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
103, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1030, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1031, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1032, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1033, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1034, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1035, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1036, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
1037, , camera, SIMPLE_PINHOLE, 1600, 1200, 1385.6, 800, 600
