# timestamp, device_id, qw, qx, qy, qz, cx, cy, cz
       1,   1, 0.121206, 0.209928, 0.840197, -0.485085, -0.0, -0.0,  0.0
       2,   4, 0.480696, 0.832598, 0.238293, -0.137579, -0.0,  0.0, -0.0
       3,   3, -0.209928, -0.121206, -0.485085, 0.840197, -0.0,  0.0,  0.0
       4,   2, -0.171402, -0.171411, -0.686015, 0.686019, -0.0,  0.0,  0.0
       5,   5, 0.679817, 0.679807, 0.194566, -0.194566, -0.0,  0.0, -0.0
       6,   6, 0.832598, 0.480696, 0.137579, -0.238293, -0.0, -0.0, -0.0
       7,   7, 0.499925, 0.865903, 0.014683, -0.00847501, -0.0,  0.0, -0.0
       8,   8, 0.707009, 0.707001, 0.011985, -0.011991, -0.0,  0.0, -0.0
       9,   9, 0.865903, 0.499925, 0.00847501, -0.014683, -0.0, -0.0, -0.0
      10,  10, 0.485085, 0.840197, -0.209928, 0.121206,  0.0,  0.0, -0.0
      11,  11, 0.686019, 0.686015, -0.171411, 0.171402,  0.0,  0.0, -0.0
      12,  12, 0.840197, 0.485085, -0.121206, 0.209928,  0.0, -0.0, -0.0
      13,  13, 0.437189, 0.757233, -0.420233, 0.242627,  0.0,  0.0, -0.0
      14,  14, 0.618278, 0.618279, -0.343126, 0.343115,  0.0,  0.0, -0.0
      15,  15, 0.757233, 0.437189, -0.242627, 0.420233,  0.0, -0.0, -0.0
      16,  16, 0.359499, 0.622665, -0.6019, 0.347512,  0.0,  0.0, -0.0
      17,  17, 0.508401, 0.508408, -0.491457, 0.491445,  0.0,  0.0, -0.0
      18,  18, 0.622665, 0.359499, -0.347512, 0.6019,  0.0, -0.0, -0.0
      19,  19, -0.257307, -0.445665, 0.742553, -0.428709,  0.0, -0.0,  0.0
      20,  20, 0.363881, 0.363887, -0.606285, 0.606295,  0.0,  0.0,  0.0
      21,  21, 0.445665, 0.257307, -0.428709, 0.742553,  0.0,  0.0,  0.0
      22,  22, -0.137579, -0.238293, 0.832598, -0.480696,  0.0, -0.0,  0.0
      23,  23, 0.194566, 0.194566, -0.679807, 0.679817,  0.0,  0.0,  0.0
      24,  24, 0.238293, 0.137579, -0.480696, 0.832598,  0.0,  0.0,  0.0
      25,  25, 0.242627, 0.420233, 0.757233, -0.437189, -0.0, -0.0,  0.0
      26,  26, -0.343115, -0.343126, -0.618279, 0.618278, -0.0,  0.0,  0.0
      27,  27, -0.420233, -0.242627, -0.437189, 0.757233, -0.0,  0.0,  0.0
      28,  51, 0.620881, 0.357475, -0.353276, 0.601593, -2.14735, 1.978, 3.5163
      29,  30, 0.014683, 0.00847501, -0.499925, 0.865903,  0.0,  0.0,  0.0
      30,  29, 0.011991, 0.011985, -0.707001, 0.707009,  0.0,  0.0,  0.0
      31,  31, 0.347512, 0.6019, 0.622665, -0.359499, -0.0, -0.0,  0.0
      32,  32, -0.491445, -0.491457, -0.508408, 0.508401, -0.0,  0.0,  0.0
      33,  33, 0.601904, 0.347507, 0.359501, -0.622664, -0.0,  0.0,  0.0
      34,  34, 0.428709, 0.742553, 0.445665, -0.257307, -0.0,  0.0, -0.0
      35,  35, 0.606295, 0.606285, 0.363887, -0.363881, -0.0,  0.0, -0.0
      36,  36, 0.742553, 0.428709, 0.257307, -0.445665, -0.0, -0.0, -0.0
      37,  37, 0.248334, 0.420619, 0.756761, -0.434421, -0.157441, 2.2446, -3.97806
      38,  38, 0.348734, 0.342015, 0.618535, -0.615486, -0.157441, -0.045152, -4.5674
      39,  39, -0.425378, -0.240092, -0.438177, 0.754593, -0.157441, -2.3228, -3.93291
      40,  40, 0.503618, 0.863819, 0.00999082, -0.00928884, 4.0342, -1.11278, 1.83709
      41,  41, 0.710037, 0.704032, 0.00724896, -0.0115539, 4.0342, -0.045152, 2.14735
      42,  42, 0.868063, 0.496267, 0.00401399, -0.013035, 4.0342, 1.03457, 1.88224
      43,  43, 0.487522, 0.837744, -0.215016, 0.11948, 2.42005, -1.97748, 3.3348
      44,  44, 0.687719, 0.683034, -0.176766, 0.171059, 2.42005, -0.045152, 3.87676
      45,  45, 0.841071, 0.48176, -0.12647, 0.210981, 2.42005, 1.89928, 3.37995
      46,  46, 0.438177, 0.754593, -0.425378, 0.240092, 0.157441, -2.3228, 3.93291
      47,  47, 0.618535, 0.615486, -0.348734, 0.342015, 0.157441, -0.045152, 4.5674
      48,  48, 0.756761, 0.434421, -0.248334, 0.420619, 0.157441, 2.2446, 3.97806
      49,  49, 0.35897, 0.620018, -0.606752, 0.34434, -2.14735, -2.0562, 3.47115
      50,  50, 0.507201, 0.505993, -0.496937, 0.489665, -2.14735, -0.045152, 4.0342
      51,  28, -0.00847501, -0.014683, 0.865903, -0.499925,  0.0, -0.0,  0.0
      52,  52, -0.25529, -0.443196, 0.746769, -0.425136, -3.87676, -1.24913, 2.07325
      53,  53, -0.361294, -0.362025, 0.61129, -0.603928, -3.87676, -0.045152, 2.42005
      54,  54, 0.442694, 0.256158, -0.434153, 0.741563, -3.87676, 1.17092, 2.1184
      55,  55, -0.134226, -0.236163, 0.835898, -0.476954, -4.5674, -0.117823, 0.113772
      56,  56, -0.190771, -0.193379, 0.683969, -0.677051, -4.5674, -0.045152, 0.157441
      57,  57, 0.234331, 0.137398, -0.485439, 0.830999, -4.5674, 0.039618, 0.158924
      58,  58, -0.00401399, -0.013035, 0.868063, -0.496267, -4.0342, 1.03457, -1.88224
      59,  59, -0.00724896, -0.0115539, 0.710037, -0.704032, -4.0342, -0.045152, -2.14735
      60,  60, 0.00999798, 0.00927499, -0.503642, 0.863805, -4.0342, -1.11278, -1.83709
      61,  61, 0.353276, 0.601593, 0.620881, -0.357475, 2.14735, 1.978, -3.5163
      62,  62, 0.496937, 0.489665, 0.507201, -0.505993, 2.14735, -0.045152, -4.0342
      63,  63, 0.606749, 0.344345, 0.358957, -0.620026, 2.14735, -2.0562, -3.47115
      64,  64, 0.12647, 0.210981, 0.841071, -0.48176, -2.42005, 1.89928, -3.37995
      65,  65, 0.176766, 0.171059, 0.687719, -0.683034, -2.42005, -0.045152, -3.87676
      66,  66, -0.215016, -0.11948, -0.487522, 0.837744, -2.42005, -1.97748, -3.3348
      67,  67, 0.434153, 0.741563, 0.442694, -0.256158, 3.87676, 1.17092, -2.1184
      68,  68, 0.61129, 0.603928, 0.361294, -0.362025, 3.87676, -0.045152, -2.42005
      69,  69, 0.746769, 0.425136, 0.25529, -0.443196, 3.87676, -1.24913, -2.07325
      70,  70, 0.485439, 0.830999, 0.234331, -0.137398, 4.5674, 0.039618, -0.158924
      71,  71, 0.683969, 0.677051, 0.190771, -0.193379, 4.5674, -0.045152, -0.157441
      72,  72, 0.835898, 0.476954, 0.134226, -0.236163, 4.5674, -0.117823, -0.113772
      73,  73, -0.322744, -0.556959, 0.660241, -0.38693, -3.1725, -3.1046, 5.38494
      74,  74, 0.455893, 0.454453, -0.537576, 0.544652, -3.1725, 0.003805, 6.21579
      75,  75, 0.557975, 0.320983, -0.378313, 0.665217, -3.1725, 3.11119, 5.38113
      76,  76, 0.166264, 0.297611, 0.813343, -0.471442, -3.79678, 2.93098, -5.06899
      77,  77, -0.237607, -0.244456, -0.663617, 0.66588, -3.79678, 0.003805, -5.85536
      78,  78, -0.292785, -0.174623, -0.46866, 0.814949, -3.79678, -2.92439, -5.0728
      79,  79, 0.281894, 0.498396, 0.709847, -0.410189, -0.360429, 3.48794, -6.03368
      80,  80, -0.401269, -0.408467, -0.579511, 0.579917, -0.360429, 0.003805, -6.96929
      81,  81, -0.493318, -0.290689, -0.409666, 0.710149, -0.360429, -3.48135, -6.03748
      82, 105, 0.153113, 0.0844921, -0.488992, 0.854578, -6.96929, 0.18351, 0.310239
      83,  83, 0.537606, 0.544622, 0.4559, -0.454448, 3.1725, 0.003805, -6.21579
      84,  84, 0.660241, 0.38693, 0.322744, -0.556959, 3.1725, -3.1046, -5.38494
      85,  85, 0.448943, 0.786708, 0.36809, -0.209884, 5.85536, 1.90169, -3.28621
      86,  88, 0.488992, 0.854578, 0.153113, -0.0844921, 6.96929, 0.18351, -0.310239
      87,  87, 0.78216, 0.45682, 0.213828, -0.365813, 5.85536, -1.8951, -3.29001
      88,  86, 0.63728, 0.643688, 0.301219, -0.298007, 5.85536, 0.003805, -3.79678
      89,  89, 0.693523, 0.698887, 0.126014, -0.121256, 6.96929, 0.003805, -0.360429
      90,  90, 0.850775, 0.49558, 0.0903412, -0.149736, 6.96929, -0.17692, -0.314043
      91,  91, 0.495717, 0.864211, -0.072299, 0.046656, 6.21579, -1.58296, 2.74937
      92,  92, 0.702504, 0.70646, -0.0577781, 0.0637601, 6.21579, 0.003805, 3.1725
      93,  93, 0.861411, 0.500567, -0.039301, 0.0765451, 6.21579, 1.58955, 2.74557
      94,  94, 0.46866, 0.814949, -0.292785, 0.174623, 3.79678, -2.92439, 5.0728
      95,  95, 0.663609, 0.665888, -0.23763, 0.244433, 3.79678, 0.003805, 5.85536
      96,  96, 0.813343, 0.471442, -0.166264, 0.297611, 3.79678, 2.93098, 5.06899
      97,  97, -0.213828, -0.365813, 0.78216, -0.45682, -5.85536, -1.8951, 3.29001
      98,  98, 0.301228, 0.297999, -0.637255, 0.643711, -5.85536, 0.003805, 3.79678
      99,  99, 0.36809, 0.209884, -0.448943, 0.786708, -5.85536, 1.90169, 3.28621
     100, 100, 0.409666, 0.710149, -0.493318, 0.290689, 0.360429, -3.48135, 6.03748
     101, 101, 0.57949, 0.579939, -0.401287, 0.408449, 0.360429, 0.003805, 6.96929
     102, 102, 0.709847, 0.410189, -0.281894, 0.498396, 0.360429, 3.48794, 6.03368
     103, 103, -0.0903412, -0.149736, 0.850775, -0.49558, -6.96929, -0.17692, 0.314043
     104,  82, 0.3783, 0.665224, 0.557981, -0.320972, 3.1725, 3.11119, -5.38113
     105, 104, 0.126032, 0.121238, -0.693508, 0.698903, -6.96929, 0.003805, 0.360429
     106, 106, 0.039301, 0.0765451, 0.861411, -0.500567, -6.21579, 1.58955, -2.74557
     107, 108, -0.072299, -0.046656, -0.495717, 0.864211, -6.21579, -1.58296, -2.74937
     108, 107, -0.0577551, -0.0637831, -0.702499, 0.706464, -6.21579, 0.003805, -3.1725
     109, 109, 0.0482351, 0.0835021, 0.861991, -0.497667, 3.74489, 6.59457, -11.4221
     110, 110, -0.0681622, -0.0682142, -0.703806, 0.703816, 3.74489,  0.0, -13.1891
     111, 111, -0.0835021, -0.0482351, -0.497667, 0.861991, 3.74489, -6.59457, -11.4221
     112, 113, 0.64364, 0.643585, 0.292843, -0.292862, 9.54969,  0.0, 9.83774
     113, 112, 0.455083, 0.788273, 0.358674, -0.207071, 9.54969, -4.91887, 8.51973
     114, 114, 0.788273, 0.455083, 0.207071, -0.358674, 9.54969, 4.91887, 8.51973
     115, 115, 0.493179, 0.85424, 0.14244, -0.0822184, 3.3514, -6.64729, 11.5134
     116, 116, 0.697496, 0.69746, 0.116274, -0.116315, 3.3514,  0.0, 13.2946
     117, 117, 0.85424, 0.493179, 0.0822184, -0.14244, 3.3514, 6.64729, 11.5134
     118, 118, 0.497667, 0.861991, -0.0835021, 0.0482351, -3.74489, -6.59457, 11.4221
     119, 119, 0.703816, 0.703806, -0.0682142, 0.0681622, -3.74489,  0.0, 13.1891
     120, 120, 0.861991, 0.497667, -0.0482351, 0.0835021, -3.74489, 6.59457, 11.4221
     121, 121, 0.468239, 0.810999, -0.303756, 0.175399, -9.83774, -4.77484, 8.27027
     122, 122, 0.662172, 0.66219, -0.248051, 0.247997, -9.83774,  0.0, 9.54969
     123, 123, 0.810999, 0.468239, -0.175399, 0.303756, -9.83774, 4.77484, 8.27027
     124, 124, 0.406904, 0.704738, -0.50331, 0.290607, -13.2946, -1.6757, 2.9024
     125, 125, 0.5754, 0.575449, -0.41098, 0.410937, -13.2946,  0.0, 3.3514
     126, 126, 0.704738, 0.406904, -0.290607, 0.50331, -13.2946, 1.6757, 2.9024
     127, 127, -0.317816, -0.550463, 0.668585, -0.385976, -13.1891, 1.87244, -3.24317
     128, 128, 0.449447, 0.44946, -0.545853, 0.54592, -13.1891,  0.0, -3.74489
     129, 129, 0.550449, 0.31784, -0.386005, 0.668568, -13.1891, -1.87244, -3.24317
     130, 130, -0.207071, -0.358674, 0.788273, -0.455083, -9.54969, 4.91887, -8.51973
     131, 131, 0.292862, 0.292843, -0.643585, 0.64364, -9.54969,  0.0, -9.83774
     132, 132, 0.358674, 0.207071, -0.455083, 0.788273, -9.54969, -4.91887, -8.51973
     133, 133, 0.175399, 0.303756, 0.810999, -0.468239, 9.83774, 4.77484, -8.27027
     134, 134, -0.247997, -0.248051, -0.66219, 0.662172, 9.83774,  0.0, -9.54969
     135, 135, -0.303756, -0.175399, -0.468239, 0.810999, 9.83774, -4.77484, -8.27027
     136, 136, -0.0822184, -0.14244, 0.85424, -0.493179, -3.3514, 6.64729, -11.5134
     137, 137, 0.116315, 0.116274, -0.69746, 0.697496, -3.3514,  0.0, -13.2946
     138, 138, 0.14244, 0.0822184, -0.493179, 0.85424, -3.3514, -6.64729, -11.5134
     139, 139, 0.290607, 0.50331, 0.704738, -0.406904, 13.2946, 1.6757, -2.9024
     140, 140, -0.410937, -0.41098, -0.575449, 0.5754, 13.2946,  0.0, -3.3514
     141, 141, 0.503333, 0.290567, 0.406908, -0.704736, 13.2946, -1.6757, -2.9024
     142, 142, 0.385976, 0.668585, 0.550463, -0.317816, 13.1891, -1.87244, 3.24317
     143, 143, 0.54592, 0.545853, 0.44946, -0.449447, 13.1891,  0.0, 3.74489
     144, 144, 0.668585, 0.385976, 0.317816, -0.550463, 13.1891, 1.87244, 3.24317
