# sensor_id, name, sensor_type, [sensor_params]+
0, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
1, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
10, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
100, , camera, SIMPLE_PINHOLE, 4032, 3024, 3136.0, 2016, 1512 
101, , camera, SIMPLE_PINHOLE, 4032, 3024, 3136.0, 2016, 1512 
102, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
103, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
104, , camera, SIMPLE_PINHOLE, 4032, 3024, 3136.0, 2016, 1512 
105, , camera, SIMPLE_PINHOLE, 4032, 3024, 3136.0, 2016, 1512 
106, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
107, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
108, , camera, SIMPLE_PINHOLE, 4032, 3024, 3136.0, 2016, 1512 
109, , camera, SIMPLE_PINHOLE, 4032, 3024, 3136.0, 2016, 1512 
11, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
110, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
111, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
112, , camera, SIMPLE_PINHOLE, 4032, 3024, 3136.0, 2016, 1512 
113, , camera, SIMPLE_PINHOLE, 4032, 3024, 3136.0, 2016, 1512 
114, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
115, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
116, , camera, SIMPLE_PINHOLE, 4032, 3024, 3136.0, 2016, 1512 
117, , camera, SIMPLE_PINHOLE, 4032, 3024, 3136.0, 2016, 1512 
118, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
119, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
12, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
120, , camera, SIMPLE_PINHOLE, 4032, 3024, 3136.0, 2016, 1512 
121, , camera, SIMPLE_PINHOLE, 4032, 3024, 3136.0, 2016, 1512 
122, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
123, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
124, , camera, SIMPLE_PINHOLE, 4032, 3024, 3136.0, 2016, 1512 
125, , camera, SIMPLE_PINHOLE, 4032, 3024, 3136.0, 2016, 1512 
126, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
127, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
128, , camera, SIMPLE_PINHOLE, 4032, 3024, 3136.0, 2016, 1512 
129, , camera, SIMPLE_PINHOLE, 4032, 3024, 3136.0, 2016, 1512 
13, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
130, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
131, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
132, , camera, SIMPLE_PINHOLE, 4032, 3024, 3136.0, 2016, 1512 
133, , camera, SIMPLE_PINHOLE, 4032, 3024, 3136.0, 2016, 1512 
134, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
135, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
136, , camera, SIMPLE_PINHOLE, 4032, 3024, 3136.0, 2016, 1512 
137, , camera, SIMPLE_PINHOLE, 4032, 3024, 3136.0, 2016, 1512 
138, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
139, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
14, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
140, , camera, SIMPLE_PINHOLE, 4032, 3024, 3136.0, 2016, 1512 
141, , camera, SIMPLE_PINHOLE, 4032, 3024, 3136.0, 2016, 1512 
142, , camera, SIMPLE_PINHOLE, 3024, 4032, 3136.0, 1512, 2016  
